0/11/2001	mata hari 
7/11/2001	rwanda - 1 
4/11/2001	rwanda - 2 
1/12/2001	les blouses blanches - 1 
8/12/2001	les blouses blanches - 2
5/12/2001	trujillo 
2/12/2001	ben laden - 1 
9/12/2001	ben laden - 2
5/01/2002	noriega 
2/01/2002	farewell et suites 
9/01/2002	robert philip hanssen 
6/01/2002	la somalie 
2/02/2002	saar-demichel 
9/02/2002	1947, l'insurrection de madagascar
6/02/2002	entebbe 
3/02/2002	thomas sankara 
2/03/2002	l'affaire sperber 
9/03/2002	eli cohen 
6/03/2002	le massacre des harkis 
3/03/2002	le gal 
0/03/2002	le plan condor - 1 
6/04/2002	le plan condor - 2 
3/04/2002	1982, la guerre des malouines 
0/04/2002	l'affaire guillaume - 1
7/04/2002	l'affaire guillaume - 2
4/05/2002	marien ngouabi 
1/05/2002	jonathan pollard 
8/05/2002	la synarchie - 1
5/05/2002	la synarchie - 2
1/06/2002	bob denard au benin 
8/06/2002	les comores 
5/06/2002	l'asala 
2/06/2002	les assassinats de l'oas 
9/06/2002	ben laden - 1 (R)
6/07/2002	ben laden - 2 (R)
3/07/2002	farewell et suites (R)
0/07/2002	entebbe (R)
7/07/2002	dulcie september (R)
3/08/2002	la guerre du golfe (R)
0/08/2002	le massacre des harkis (R)
7/08/2002	noriega (R)
4/08/2002	rwanda - 1 (R)
1/08/2002	rwanda - 2 (R)
7/09/2002	operation chaos 
4/09/2002	les moines de tibhirine 
1/09/2002	assassinats en guinee equatoriale 
8/09/2002	venezuela puch anti chavez (R)
5/10/2002	vladimir montesinos
2/10/2002	watergate - 1
9/10/2002	watergate - 2 
6/10/2002	1973, les plombiers du canard enchaine 
2/11/2002	1943, assassinat au sommet 
9/11/2002	rudolf noureev 
6/11/2002	le gia - 1 
3/11/2002	le gia - 2 
7/12/2002	le genocide armenien 
4/12/2002	tchad - 1 : l'affaire outel bono
1/12/2002	tchad - 2 : l'affaire claustre
8/12/2002	vladimir poutine 
4/01/2003	la liste de golda - 1
1/01/2003	la liste de golda - 2
8/01/2003	mroz 
5/01/2003	l'irak - 1 
1/02/2003	l'irak - 2
8/02/2003	les accords fln-oas 
5/02/2003	le tibet et la cia 
2/02/2003	la fin de gorbatchev 
1/03/2003	gladio 
8/03/2003	victor louis 
5/03/2003	les colonels grecs 
2/03/2003	l'irak (R)
9/03/2003	ben laden (R)
5/04/2003	la question kurde 
2/04/2003	ocalan 
9/04/2003	chypre 
6/04/2003	james jesus angleton - 1
3/05/2003	angleton - 2
0/05/2003	pablo escobar 
7/05/2003	le plan colombie 
4/05/2003	la tchetchenie - 1
1/05/2003	la tchetchenie - 2
7/06/2003	le congo - 1 
4/06/2003	le congo - 2 
1/06/2003	haiti du temps des duvalier pere et fils 
8/06/2003	les moines de tibhirine (R)
5/07/2003	vladimir montesinos (R)
2/07/2003	watergate - 1 (R)
9/07/2003	watergate - 2 (R)
6/07/2003	le genocide armenien (R)
2/08/2003	mroz (R)
9/08/2003	1991, la fin de gorbatchev (R) 
6/08/2003	tchad - 1 : l'affaire outel bono (R)
3/08/2003	tchad - 2 : l'affaire claustre (R)
0/08/2003	victor louis (R)
6/09/2003	haiti
3/09/2003	negociations secretes israel-palestine - 1 
0/09/2003	negociations secretes israel-palestine - 2
7/09/2003	le docteur petiot 
4/10/2003	1956, budapest - 1
1/10/2003	1956, budapest - 2 
8/10/2003	1988, la mort du president pakistanais zia ul haq 
5/10/2003	les hmongs du laos et la cia 
1/11/2003	bombardements secrets sur le cambodge
8/11/2003	cambodge, 1970-1979 : de l'ingerence americaine jusqu'au regime khmers rouges (2) 
5/11/2003	1979-1991, aide secrete aux khmers rouges contre un cambodge vietnamise
2/11/2003	conde-sur-escaut 
9/11/2003	le congo brazzaville 
6/12/2003	le rapport secret de khrouchtchev, fevrier 1956 
3/12/2003	jacques doriot 
0/12/2003	wolfgang lotz - 1 
7/12/2003	wolfgang lotz - 2 
3/01/2004	toukhatchevski 
0/01/2004	vlassov 
7/01/2004	1979, Iran, la chute du Shah
4/01/2004	djamel bhegal 
1/01/2004	l'assassinat de jfk - 1
7/02/2004	l'assassinat de jfk - 2
4/02/2004	l'affaire du juge borrel 
